country,0 portions,From 1 to 4 portions,5 portions or more
Belgium,17.4,67.5,15.1
Bulgaria,47.1,47.8,5
Czechia,48.2,44.1,7.7
Denmark,38.6,38.5,22.9
Germany,33.2,55.9,10.9
Estonia,39.4,47.3,13.3
Ireland,19,48.1,32.9
Greece,33.1,54.5,12.4
Spain,23.4,65.7,10.9
France,25.2,55.3,19.5
Croatia,28.5,61.7,9.8
Italy,23.8,65.7,10.5
Cyprus,33.2,58.8,7.9
Latvia,53.9,38.9,7.2
Lithuania,41,43.1,15.9
Luxembourg,48.1,38.3,13.6
Hungary,36.3,55.5,8.2
Malta,36.4,52.1,11.6
Netherlands,41.8,28.7,29.5
Austria,35.8,58.7,5.6
Poland,37.5,53.9,8.6
Portugal,27.4,58.2,14.4
Romania,73.6,24,2.4
Slovenia,31.9,62.8,5.3
Slovakia,41.3,50.2,8.5
Finland,37.5,49,13.5
Sweden,37.7,54.6,7.6
Iceland,34.1,56.7,9.1
Norway,29.2,62.2,8.6
Serbia,44.6,47.3,8.1
Turkey,37.5,59.7,2.8
